agency_name,response_count,agency_name_display,most_helpful_top_words,most_helpful_top_bigrams,least_helpful_top_words,least_helpful_top_bigrams
parents helping parents,7,Parents Helping Parents,parents:4 | work:3 | meaningful:2 | support:2 | appreciated:2 | coordination:2 | difficult:2 | accessible:2 | situations:2 | practice:2 | engaging:1 | directly:1 | crisis:1 | deepened:1 | skills:1 | empathy:1 | active:1 | listening:1 | connecting:1 | families:1,engaging directly:1 | directly parents:1 | parents crisis:1 | crisis deepened:1 | deepened skills:1 | skills empathy:1 | empathy active:1 | active listening:1 | listening connecting:1 | connecting families:1 | families meaningful:1 | meaningful support:1 | appreciated learn:1 | learn reentry:1 | reentry planning:1,technology:2 | parents:2 | poor:2 | cell:2 | reception:2 | areas:2 | wanted:2 | direct:2 | practice:2 | instead:2 | mostly:2 | observation:2 | anonymous:1 | nature:1 | work:1 | follow:1 | care:1 | impossible:1 | limited:1 | opportunities:1,poor cell:2 | cell reception:2 | wanted direct:2 | direct practice:2 | practice instead:2 | instead mostly:2 | mostly observation:2 | anonymous nature:1 | nature work:1 | work follow:1 | follow care:1 | care impossible:1 | impossible limited:1 | limited opportunities:1 | opportunities see:1
paris gibson alternative education,4,Paris Gibson Alternative Education,practicum:3 | experience:3 | agency:2 | able:2 | work:2 | different:2 | real:2 | appreciated:2 | exposure:2 | here:1 | population:1 | people:1 | another:1 | gain:1 | rapport:1 | building:1 | skills:1 | clients:1 | offered:1 | several:1,practicum experience:2 | experience here:1 | here agency:1 | agency able:1 | able work:1 | work population:1 | population people:1 | people work:1 | work another:1 | another practicum:1 | experience able:1 | able gain:1 | gain rapport:1 | rapport building:1 | building skills:1,try:2 | work:2 | needed:2 | client:2 | contact:2 | fewer:2 | office:2 | tasks:2 | encountered:1 | here:1 | practicum:1 | agency:1 | ability:1 | keep:1 | fast:1 | past:1 | environment:1 | found:1 | difficult:1 | continuous:1,client contact:2 | contact fewer:2 | fewer office:2 | office tasks:2 | encountered here:1 | here practicum:1 | practicum agency:1 | agency ability:1 | ability try:1 | try keep:1 | keep fast:1 | fast past:1 | past environment:1 | environment found:1 | found difficult:1
partners in home care,24,Partners In Home Care,helped:11 | work:10 | learning:6 | intervention:6 | planning:5 | practice:5 | assessment:5 | gave:4 | together:4 | support:3 | documentation:3 | build:3 | confidence:3 | advocacy:3 | safety:3 | understand:3 | trauma:3 | informed:3 | care:3 | opportunities:3,helped build:3 | build confidence:3 | safety planning:3 | trauma informed:3 | macro practice:3 | see assessment:3 | assessment intervention:3 | intervention evaluation:3 | evaluation work:3 | work together:3 | gave better:2 | better sense:2 | sense trauma:2 | informed care:2 | gave clearer:2,practice:8 | went:5 | paperwork:5 | instead:5 | actual:5 | than:5 | hardest:3 | practicum:3 | times:3 | learning:2 | too:2 | doing:2 | first:2 | less:2 | scheduling:2 | clear:2 | work:2 | frustration:2 | supervisor:2 | msw:2,went paperwork:5 | paperwork instead:5 | instead actual:5 | actual practice:5 | hardest went:2 | patient load:1 | load fairly:1 | fairly light:1 | light enabled:1 | enabled spend:1 | spend alot:1 | alot learning:1 | learning medicare:1 | medicare medicaid:1 | medicaid home:1
partnership health center,29,Partnership Health Center,work:9 | support:9 | community:8 | helped:7 | appreciated:6 | practice:5 | learn:5 | group:5 | team:5 | meetings:5 | social:5 | biggest:4 | help:4 | instead:4 | debrief:4 | health:4 | supervision:4 | included:3 | groups:3 | opportunities:3,support groups:3 | behavioral health:3 | help work:2 | appreciated included:2 | learn community:2 | group facilitation:2 | structure uneven:2 | uneven times:2 | meetings helped:2 | social justice:2 | justice self:2 | self determination:2 | helped build:2 | build confidence:2 | social work:2,practice:8 | wanted:4 | little:4 | hardest:3 | instead:3 | learning:3 | first:3 | supervision:3 | liked:3 | consistency:3 | early:3 | independent:3 | hard:2 | expectations:2 | went:2 | paperwork:2 | actual:2 | opportunities:2 | took:2 | too:2,liked consistency:3 | consistency early:3 | wanted little:3 | little independent:3 | independent practice:3 | went paperwork:2 | paperwork instead:2 | instead actual:2 | actual practice:2 | learning opportunities:2 | first weeks:2 | hardest wanted:1 | wanted direct:1 | direct practice:1 | practice instead:1
paxson elementary school,13,Paxson Elementary School,work:6 | documentation:5 | practice:5 | advocacy:3 | planning:3 | great:2 | social:2 | included:2 | community:2 | instead:2 | observing:2 | appreciated:2 | resource:2 | given:2 | opportunity:2 | learn:2 | debrief:2 | pushed:2 | confidence:2 | connect:2,planning community:2 | opportunity work:2 | connect class:2 | class content:2 | content practice:2 | educational practicum:1 | practicum agency:1 | agency completing:1 | completing projects:1 | projects wanted:1 | wanted without:1 | without challenges:1 | challenges forced:1 | forced work:1 | work roadblocks:1,work:5 | practice:5 | too:3 | admin:3 | enough:3 | hands:3 | hardest:3 | fewer:3 | tasks:2 | educational:1 | practicum:1 | clients:1 | gain:1 | experience:1 | social:1 | slowed:1 | down:1 | learning:1 | school:1 | midst:1,too admin:3 | admin work:3 | educational practicum:1 | practicum work:1 | work clients:1 | clients gain:1 | gain experience:1 | experience social:1 | social work:1 | practice slowed:1 | slowed down:1 | down learning:1 | hardest too:1 | school midst:1 | midst transition:1
peachtree pediatric therapy center,4,Peachtree Pediatric Therapy Center,learned:3 | issues:2 | site:2 | actually:2 | seeing:2 | first:2 | hand:2 | times:2 | resource:1 | navigation:1 | advocacy:1 | see:1 | classroom:1 | material:1 | shows:1 | practicum:1 | ethical:1 | dilemmas:1 | getting:1 | learn:1,site learned:2 | first hand:2 | learned resource:1 | resource navigation:1 | navigation advocacy:1 | advocacy actually:1 | actually see:1 | see classroom:1 | classroom material:1 | material shows:1 | shows practicum:1 | seeing ethical:1 | ethical dilemmas:1 | dilemmas first:1 | hand getting:1,shadowing:2 | needed:2 | practice:2 | one:1 | frustration:1 | chances:1 | try:1 | skills:1 | issues:1 | managment:1 | effected:1 | desire:1 | attend:1 | hours:1 | mostly:1 | limited:1 | direct:1 | too:1 | admin:1 | work:1,frustration shadowing:1 | shadowing needed:1 | issues managment:1 | managment effected:1 | effected desire:1 | desire attend:1 | attend needed:1 | needed hours:1 | mostly shadowing:1 | shadowing limited:1 | limited direct:1 | direct practice:1 | too admin:1 | admin work:1
pine rest christian mental health services,4,Pine Rest Christian Mental Health Services,gave:3 | like:2 | crisis:2 | work:2 | practice:2 | assessment:2 | placement:1 | room:1 | grow:1 | staff:1 | welcoming:1 | treated:1 | team:1 | appreciated:1 | exposure:1 | policy:1 | discussions:1 | community:1 | partnerships:1 | intervention:1,like placement:1 | placement gave:1 | gave room:1 | room grow:1 | grow staff:1 | staff welcoming:1 | welcoming treated:1 | treated like:1 | like team:1 | team appreciated:1 | appreciated exposure:1 | exposure policy:1 | policy discussions:1 | discussions community:1 | community partnerships:1,work:2 | important:2 | skills:2 | committee:1 | abstract:1 | early:1 | times:1 | pace:1 | crisis:1 | hard:1 | slow:1 | down:1 | reflect:1 | increased:1 | stress:1 | secondary:1 | trauma:1 | personally:1 | think:1 | watched:1,committee work:1 | work abstract:1 | abstract early:1 | times pace:1 | pace crisis:1 | crisis work:1 | work hard:1 | hard slow:1 | slow down:1 | down reflect:1 | reflect increased:1 | increased stress:1 | stress secondary:1 | secondary trauma:1 | personally think:1
planned parenthood of montana,11,Planned Parenthood Of Montana,practice:7 | learning:4 | work:3 | intakes:3 | helped:3 | case:3 | clients:3 | feedback:3 | direct:3 | having:2 | build:2 | confidence:2 | appreciated:2 | management:2 | social:2 | gave:2 | structure:2 | ibh:1 | access:1 | plenty:1,direct practice:3 | build confidence:2 | case management:2 | learning ibh:1 | ibh having:1 | having access:1 | access plenty:1 | plenty interprofessional:1 | interprofessional opportunities:1 | opportunities learning:1 | learning system:1 | system works:1 | works getting:1 | getting hands:1 | hands experience:1,practice:4 | too:3 | work:3 | enough:3 | admin:2 | hands:2 | liked:2 | direct:2 | clients:2 | program:1 | relatively:1 | new:1 | lacks:1 | structure:1 | someone:1 | clinical:1 | experience:1 | bit:1 | learning:1 | curve:1,too admin:2 | admin work:2 | liked direct:2 | program relatively:1 | relatively new:1 | new lacks:1 | lacks structure:1 | structure someone:1 | someone clinical:1 | clinical experience:1 | experience bit:1 | bit learning:1 | learning curve:1 | curve impossible:1 | impossible seemed:1
postpartum resource group,3,Postpartum Resource Group,goals:2 | biggest:1 | help:1 | included:1 | group:1 | facilitation:1 | resource:1 | navigation:1 | community:1 | referrals:1 | instead:1 | observing:1 | opportunity:1 | work:1 | various:1 | aspects:1 | nonprofit:1 | agency:1 | allowed:1 | develop:1,help included:1 | included group:1 | group facilitation:1 | facilitation resource:1 | resource navigation:1 | navigation community:1 | community referrals:1 | referrals instead:1 | opportunity work:1 | work various:1 | various aspects:1 | aspects nonprofit:1 | nonprofit agency:1 | agency allowed:1 | allowed develop:1,shadowing:1 | needed:1 | chances:1 | try:1 | skills:1 | took:1 | administrative:1 | tasks:1 | primarily:1 | educational:1 | minimal:1 | feedback:1 | came:1 | too:1 | late:1 | useful:1 | weeks:1,shadowing needed:1 | took administrative:1 | administrative tasks:1 | tasks primarily:1 | primarily educational:1 | educational minimal:1 | feedback came:1 | came too:1 | too late:1 | late useful:1 | useful weeks:1
poverello center inc,22,Poverello Center Inc,work:11 | practice:9 | helped:7 | supervision:5 | practicum:5 | community:5 | meetings:5 | social:4 | planning:4 | assessment:4 | support:4 | group:3 | students:3 | agency:3 | tasks:3 | learning:3 | see:3 | coordination:3 | connect:3 | appreciated:3,practicum students:2 | gave clearer:2 | clearer view:2 | view micro:2 | micro mezzo:2 | mezzo macro:2 | macro practice:2 | social work:2 | community outreach:2 | helped understand:2 | connect class:2 | class content:2 | content practice:2 | direct practice:2 | see assessment:2,work:6 | times:4 | too:4 | harder:4 | quickly:4 | practice:4 | practicum:3 | hardest:3 | enough:3 | changed:3 | direct:3 | soar:3 | doing:2 | life:2 | school:2 | think:2 | bit:2 | agency:2 | honestly:2 | one:2,changed quickly:3 | direct practice:3 | workflow changed:2 | quickly planning:2 | planning harder:2 | doing work:1 | work based:1 | based practicum:1 | practicum found:1 | found difficult:1 | difficult separate:1 | separate work:1 | work life:1 | life school:1 | school life:1
prairie hills recovery center,4,Prairie Hills Recovery Center,help:2 | questions:2 | planning:2 | direct:1 | supervisor:1 | provided:1 | space:1 | welcoming:1 | concerns:1 | appreciated:1 | issues:1 | site:1 | learned:1 | data:1 | tracking:1 | community:1 | best:1 | exposure:1 | program:1 | working:1,help direct:1 | direct supervisor:1 | supervisor provided:1 | provided space:1 | space welcoming:1 | welcoming questions:1 | questions concerns:1 | appreciated issues:1 | site learned:1 | learned data:1 | data tracking:1 | tracking community:1 | community planning:1 | best exposure:1 | exposure program:1,small:2 | professional:2 | personal:2 | practice:2 | such:1 | rural:1 | community:1 | agency:1 | relationships:1 | intertwined:1 | wouldn:1 | change:1 | world:1 | tread:1 | relationship:1 | staff:1 | members:1 | went:1 | paperwork:1 | instead:1,such small:1 | small rural:1 | rural community:1 | community agency:1 | agency small:1 | small professional:1 | professional personal:1 | personal relationships:1 | relationships intertwined:1 | intertwined wouldn:1 | wouldn change:1 | change world:1 | world tread:1 | tread personal:1 | personal professional:1
providence st. joseph medical center,18,Providence St. Joseph Medical Center,work:7 | practice:6 | supervision:5 | helped:4 | gave:4 | appreciated:3 | documentation:3 | planning:3 | support:3 | group:3 | feedback:3 | quality:2 | useful:2 | social:2 | justice:2 | learn:2 | debrief:2 | safety:2 | resource:2 | referrals:2,social justice:2 | helped learn:2 | safety planning:2 | resource referrals:2 | practice gave:2 | direct practice:2 | gave clearer:2 | clearer view:2 | view micro:2 | micro mezzo:2 | mezzo macro:2 | macro practice:2 | getting hands:2 | hands experience:2 | supervision high:1,own:4 | times:3 | clients:3 | went:3 | paperwork:3 | instead:3 | actual:3 | practice:3 | weeks:3 | wish:2 | billing:2 | services:2 | work:2 | hardest:2 | cases:2 | learning:2 | progress:2 | supervision:2 | overwhelming:2 | first:2,went paperwork:3 | paperwork instead:3 | instead actual:3 | actual practice:3 | first weeks:2 | weeks unstructured:2 | wish bit:1 | bit autonomy:1 | autonomy maybe:1 | maybe own:1 | own space:1 | space computer:1 | computer phone:1 | phone enable:1 | enable task:1
ramsey magnet school of science,5,Ramsey Magnet School Of Science,work:4 | helped:3 | assessments:2 | build:2 | confidence:2 | supervision:1 | linked:1 | theory:1 | ethics:1 | real:1 | case:1 | discussion:1 | see:1 | assessment:1 | intervention:1 | evaluation:1 | together:1 | treatment:1 | planning:1 | intakes:1,helped build:2 | build confidence:2 | supervision linked:1 | linked theory:1 | theory ethics:1 | ethics real:1 | real case:1 | case discussion:1 | discussion see:1 | see assessment:1 | assessment intervention:1 | intervention evaluation:1 | evaluation work:1 | work together:1 | helped work:1,stress:1 | urgent:1 | scheduling:1 | crisis:1 | response:1 | times:1 | too:1 | documentation:1 | negative:1 | people:1 | contributing:1 | school:1 | climate:1 | needed:1 | client:1 | contact:1 | fewer:1 | office:1 | tasks:1 | wanted:1,stress urgent:1 | urgent scheduling:1 | scheduling crisis:1 | crisis response:1 | times too:1 | too documentation:1 | negative people:1 | people contributing:1 | contributing school:1 | school climate:1 | client contact:1 | contact fewer:1 | fewer office:1 | office tasks:1 | wanted direct:1
