agency_name,agency_name_display,response_count,data_quality,placement_quality_score,recent_placement_score,fit_trend,mean_response_length,recommendation_rate,overall_sentiment_score,mean_competency_score,concern_indicator_count,concern_flag,misalignment_flag,most_helpful_polarity,least_helpful_polarity,strong_supervision_helpful_pct,strong_supervision_least_pct,direct_practice_opportunity_helpful_pct,direct_practice_opportunity_least_pct,administrative_overload_helpful_pct,administrative_overload_least_pct,organizational_structure_helpful_pct,organizational_structure_least_pct,learning_environment_helpful_pct,learning_environment_least_pct,social_justice_alignment_helpful_pct,social_justice_alignment_least_pct,most_helpful_top_words,most_helpful_top_bigrams,least_helpful_top_words,least_helpful_top_bigrams,comp_1_ethical_professional,comp_2_human_rights_justice,comp_3_adei,comp_4_research_informed,comp_5_policy_practice,comp_6_engage,comp_7_assess,comp_8_intervene,comp_9_evaluate,felt_prepared,learning_goals_met,prepared_for_practice,supervision_frequency,supervision_quality,comments_supervisor_polarity,other_comments_polarity,recommend_reason_polarity,agency_competency_1_mean,agency_competency_2_mean,agency_competency_3_mean,agency_competency_4_mean,agency_competency_5_mean,agency_competency_6_mean,agency_competency_7_mean,agency_competency_8_mean,agency_competency_9_mean
vivent health,Vivent Health,4,sufficient,4.3,,stable,20.5,0.75,0.3317,90.61,0,no flag,no flag,0.5196,0.0173,50.0,0.0,50.0,33.3,0.0,0.0,0.0,33.3,0.0,33.3,50.0,0.0,community:2 | practice:2 | gave:2 | organization:1 | tasks:1 | helped:1 | understand:1 | mezzo:1 | macro:1 | concrete:1 | like:1 | placement:1 | room:1 | grow:1 | included:1 | meetings:1 | regular:1 | check:1 | ins:1 | direct:1,community organization:1 | organization tasks:1 | tasks helped:1 | helped understand:1 | understand mezzo:1 | mezzo macro:1 | macro practice:1 | practice concrete:1 | like placement:1 | placement gave:1 | gave room:1 | room grow:1 | grow included:1 | included meetings:1 | meetings regular:1,having:1 | fewer:1 | opportunities:1 | direct:1 | service:1 | than:1 | expected:1 | first:1 | weeks:1 | unstructured:1 | say:1 | isn:1 | applicable:1 | everything:1 | found:1 | learning:1 | experience:1 | work:1 | school:1,having fewer:1 | fewer opportunities:1 | opportunities direct:1 | direct service:1 | service than:1 | than expected:1 | first weeks:1 | weeks unstructured:1 | say isn:1 | isn applicable:1 | applicable everything:1 | everything found:1 | found learning:1 | learning experience:1 | experience work:1,4.5,4.75,4.25,4.0,4.25,4.25,5.0,4.25,4.75,4.0,4.5,4.0,4.5,4.5,0.2773,0.4025,0.4418,89.21,93.24,93.84,92.18,90.29,86.96,89.28,90.54,89.94
casa for children,Casa For Children,20,sufficient,4.32,4.9,improving,25.5,0.8,0.3804,89.23,0,no flag,no flag,0.5652,-0.0693,20.0,5.6,15.0,5.6,15.0,33.3,5.0,22.2,45.0,27.8,35.0,0.0,work:7 | practice:6 | see:6 | documentation:5 | community:4 | appreciated:4 | supervision:4 | learning:4 | practicum:4 | included:3 | instead:3 | observing:3 | intervention:3 | coordination:3 | helped:3 | understand:3 | real:3 | learned:3 | meetings:3 | biggest:2,helped understand:3 | see assessment:2 | assessment intervention:2 | intervention evaluation:2 | evaluation work:2 | work together:2 | close helped:2 | understand policy:2 | policy practice:2 | practice better:2 | real life:2 | take information:2 | community resources:2 | help included:1 | included community:1,frustration:4 | times:4 | practicum:3 | paperwork:3 | work:3 | every:2 | experience:2 | shadowing:2 | structure:2 | liked:2 | supervisor:2 | went:2 | social:2 | learning:2 | hard:2 | ethical:2 | concerns:2 | observed:2 | workflow:1 | changed:1,frustration workflow:1 | workflow changed:1 | changed quickly:1 | quickly planning:1 | planning harder:1 | honestly pinpoint:1 | pinpoint wasn:1 | wasn gain:1 | gain here:1 | here every:1 | every experience:1 | experience contributes:1 | contributes growth:1 | hardest shadowing:1 | shadowing needed:1,4.35,4.65,4.55,4.35,4.4,4.4,4.55,4.3,4.05,3.65,4.45,4.4,4.55,4.55,0.4316,0.4576,0.517,88.0,89.69,89.48,88.59,87.94,89.6,90.98,88.72,90.05
cascade academy,Cascade Academy,7,sufficient,4.34,3.7,declining,18.3,0.86,0.2317,89.58,0,no flag,no flag,0.3558,-0.1392,28.6,0.0,0.0,16.7,0.0,0.0,28.6,33.3,28.6,33.3,14.3,0.0,work:3 | therapists:2 | shadow:2 | practice:2 | strengths:2 | placement:2 | gave:2 | having:1 | team:1 | learn:1 | ask:1 | questions:1 | able:1 | multiple:1 | learned:1 | crisis:1 | structure:1 | uneven:1 | times:1 | iep:1,having team:1 | team therapists:1 | therapists learn:1 | learn shadow:1 | shadow ask:1 | ask questions:1 | able shadow:1 | shadow multiple:1 | multiple therapists:1 | learned crisis:1 | crisis work:1 | work structure:1 | structure uneven:1 | uneven times:1 | work iep:1,educational:2 | difficult:2 | work:1 | specific:1 | population:1 | cannot:1 | think:1 | wasn:1 | liked:1 | consistent:1 | structure:1 | early:1 | wanted:1 | direct:1 | practice:1 | instead:1 | mostly:1 | observation:1 | call:1 | demands:1,work specific:1 | specific population:1 | cannot think:1 | think wasn:1 | wasn educational:1 | liked consistent:1 | consistent structure:1 | structure early:1 | wanted direct:1 | direct practice:1 | practice instead:1 | instead mostly:1 | mostly observation:1 | call demands:1 | demands educational:1,4.43,3.86,4.43,4.57,4.43,3.86,4.43,4.14,4.29,4.0,4.29,4.29,4.71,4.43,0.0261,0.2096,0.7063,89.81,90.66,89.39,89.2,88.92,91.0,90.22,87.5,89.56
youth court services,Youth Court Services,4,sufficient,4.35,,stable,23.8,1.0,0.4771,90.62,0,no flag,no flag,0.7724,0.0524,25.0,0.0,25.0,25.0,0.0,0.0,0.0,25.0,25.0,0.0,25.0,0.0,practice:2 | like:2 | work:2 | gave:2 | community:1 | based:1 | research:1 | helped:1 | think:1 | collaboration:1 | stakeholder:1 | input:1 | ethical:1 | use:1 | data:1 | strengthened:1 | understanding:1 | generalist:1 | across:1 | systems:1,community based:1 | based research:1 | research helped:1 | helped think:1 | think collaboration:1 | collaboration stakeholder:1 | stakeholder input:1 | input ethical:1 | ethical use:1 | use data:1 | data strengthened:1 | strengthened understanding:1 | understanding generalist:1 | generalist practice:1 | practice across:1,placement:1 | useful:1 | client:1 | contact:1 | limited:1 | than:1 | expected:1 | first:1 | weeks:1 | unstructured:1 | having:1 | clinical:1 | opportunity:1 | onboarding:1 | process:1 | clearer:1,placement useful:1 | useful client:1 | client contact:1 | contact limited:1 | limited than:1 | than expected:1 | first weeks:1 | weeks unstructured:1 | having clinical:1 | clinical opportunity:1 | onboarding process:1 | process clearer:1,3.75,5.0,4.5,4.25,5.0,4.75,4.75,4.5,4.75,4.25,4.5,4.5,4.25,4.25,0.5738,0.2944,0.6923,88.88,90.16,92.73,90.98,89.38,89.76,91.44,90.76,91.53
on target aba,On Target Aba,5,sufficient,4.36,3.8,declining,37.8,1.0,0.5168,89.68,0,no flag,no flag,0.6328,0.2734,60.0,0.0,40.0,0.0,20.0,0.0,20.0,20.0,40.0,20.0,40.0,20.0,aba:2 | staff:2 | families:2 | case:2 | team:2 | debriefing:2 | planning:2 | educational:1 | aspects:1 | practicum:1 | target:1 | gaining:1 | deeper:1 | understanding:1 | implement:1 | trauma:1 | informed:1 | care:1 | motivational:1 | interviewing:1,educational aspects:1 | aspects practicum:1 | practicum target:1 | target aba:1 | aba gaining:1 | gaining deeper:1 | deeper understanding:1 | understanding implement:1 | implement trauma:1 | trauma informed:1 | informed care:1 | care motivational:1 | motivational interviewing:1 | interviewing within:1 | within aba:1,aba:3 | own:2 | clients:2 | onboarding:2 | challenging:1 | parts:1 | practicum:1 | target:1 | navigating:1 | balance:1 | structured:1 | approach:1 | values:1 | client:1 | centered:1 | care:1 | seen:1 | involving:1 | behavior:1 | plans:1,challenging parts:1 | parts practicum:1 | practicum target:1 | target aba:1 | aba navigating:1 | navigating balance:1 | balance aba:1 | aba structured:1 | structured approach:1 | approach own:1 | own values:1 | values client:1 | client centered:1 | centered care:1 | care seen:1,4.2,4.6,4.6,4.6,4.2,4.2,4.6,4.4,4.6,4.0,4.6,4.4,4.4,4.4,0.602,0.3368,0.739,91.1,87.71,88.28,87.41,89.41,89.65,93.96,89.42,90.14
spot to talk,Spot To Talk,9,sufficient,4.36,5.0,improving,22.8,1.0,0.4396,89.12,0,no flag,no flag,0.6626,0.0834,55.6,22.2,33.3,0.0,0.0,0.0,0.0,33.3,44.4,0.0,44.4,0.0,helped:3 | learning:3 | community:3 | real:2 | safety:2 | planning:2 | case:2 | management:2 | building:2 | practice:2 | meetings:2 | partnerships:2 | clinical:2 | found:1 | life:1 | application:1 | therapeutic:1 | modalities:1 | beneficial:1 | enjoyed:1,safety planning:2 | case management:2 | community partnerships:2 | found real:1 | real life:1 | life application:1 | application therapeutic:1 | therapeutic modalities:1 | modalities beneficial:1 | beneficial enjoyed:1 | enjoyed taking:1 | taking supervision:1 | supervision gaining:1 | gaining insight:1 | insight better:1,nothing:2 | hardest:2 | workflow:2 | changed:2 | quickly:2 | planning:2 | harder:2 | scheduling:2 | negative:1 | report:1 | structure:1 | uneven:1 | early:1 | travel:1 | across:1 | sites:1 | reduced:1 | available:1 | supervision:1 | debriefing:1,hardest workflow:2 | workflow changed:2 | changed quickly:2 | quickly planning:2 | planning harder:2 | nothing negative:1 | negative report:1 | structure uneven:1 | uneven early:1 | travel scheduling:1 | scheduling across:1 | across sites:1 | sites reduced:1 | reduced available:1 | available supervision:1,4.33,4.56,4.67,4.44,4.44,4.44,4.78,4.11,4.33,4.11,4.44,4.56,4.11,4.56,0.434,0.4169,0.601,88.99,89.44,89.15,89.27,87.07,89.82,92.52,86.0,89.8
office of the state public defender,Office Of The State Public Defender,11,sufficient,4.38,4.9,improving,24.6,0.91,0.4129,90.78,0,no flag,no flag,0.6171,0.3005,9.1,0.0,18.2,0.0,9.1,0.0,9.1,12.5,54.5,25.0,81.8,0.0,helped:5 | community:4 | practice:3 | policy:3 | systems:3 | perspective:3 | social:3 | advocacy:2 | seeing:2 | planning:2 | ability:2 | learn:2 | clients:2 | working:2 | interdisciplinary:2 | team:2 | understand:2 | work:2 | within:2 | meetings:2,helped understand:2 | social work:2 | included advocacy:1 | advocacy community:1 | community referrals:1 | referrals instead:1 | observing learning:1 | learning agreement:1 | agreement less:1 | less abstract:1 | seeing data:1 | data planning:1 | planning community:1 | community input:1 | input came:1,learning:3 | meet:3 | role:2 | wanted:2 | goals:2 | student:2 | university:2 | agreement:2 | new:2 | communication:1 | structure:1 | lacking:1 | tasks:1 | assigned:1 | out:1 | scope:1 | provided:1 | platform:1 | opportunity:1 | self:1,learning agreement:2 | communication structure:1 | structure lacking:1 | tasks assigned:1 | assigned out:1 | out scope:1 | scope provided:1 | provided platform:1 | platform opportunity:1 | opportunity self:1 | self advocate:1 | advocate educate:1 | educate colleagues:1 | colleagues role:1 | role social:1,4.55,4.36,4.27,4.36,4.36,4.18,4.09,4.27,3.64,4.36,4.64,4.09,4.55,4.27,0.174,0.2942,0.6788,91.97,92.29,92.0,90.68,88.66,90.81,91.52,90.31,88.76
watson children's shelter,Watson Children's Shelter,8,sufficient,4.38,4.6,stable,29.0,0.88,0.35,90.01,0,no flag,no flag,0.5039,-0.1549,25.0,0.0,37.5,0.0,12.5,0.0,12.5,50.0,37.5,0.0,50.0,0.0,helped:6 | practice:4 | children:4 | support:3 | policy:3 | doing:2 | case:2 | see:2 | meetings:2 | close:2 | understand:2 | better:2 | interagency:2 | coordination:2 | feedback:2 | work:2 | informed:2 | social:2 | understanding:2 | crisis:2,close helped:2 | helped understand:2 | understand policy:2 | policy practice:2 | practice better:2 | interagency coordination:2 | children crisis:2 | observing doing:1 | doing case:1 | case management:1 | management support:1 | helped see:1 | see case:1 | case staffing:1 | staffing meetings:1,expectations:2 | clear:2 | start:2 | bit:1 | structure:1 | beginning:1 | frustration:1 | wanted:1 | little:1 | independent:1 | practice:1 | probably:1 | transporting:1 | children:1 | various:1 | appointments:1 | important:1 | build:1 | relationships:1 | providers:1,expectations clear:2 | clear start:2 | bit structure:1 | structure beginning:1 | frustration wanted:1 | wanted little:1 | little independent:1 | independent practice:1 | probably transporting:1 | transporting children:1 | children various:1 | various appointments:1 | appointments important:1 | important build:1 | build relationships:1,4.5,4.62,4.5,4.5,4.75,4.12,4.75,4.62,4.5,4.25,4.75,4.5,4.0,4.38,0.5161,0.354,0.5308,87.54,90.35,89.0,88.54,89.66,91.5,94.06,88.46,91.0
alaska family services,Alaska Family Services,6,sufficient,4.4,4.0,declining,27.8,0.83,0.4499,89.77,0,no flag,no flag,0.7551,-0.0483,50.0,0.0,16.7,16.7,16.7,16.7,16.7,0.0,33.3,33.3,33.3,0.0,team:3 | help:3 | gained:2 | families:2 | good:2 | practice:2 | community:2 | better:2 | constant:1 | feedback:1 | willingness:1 | answer:1 | questions:1 | anytime:1 | needed:1 | support:1 | learned:1 | writing:1 | technically:1 | unemotionally:1,constant feedback:1 | feedback willingness:1 | willingness team:1 | team answer:1 | answer questions:1 | questions help:1 | help anytime:1 | anytime needed:1 | needed help:1 | help support:1 | learned writing:1 | writing technically:1 | technically unemotionally:1 | unemotionally gained:1 | gained knowledge:1,work:2 | visits:2 | slow:2 | don:1 | negatives:1 | experience:1 | rounded:1 | educational:1 | complaint:1 | becomes:1 | similar:1 | completed:1 | several:1 | tends:1 | follow:1 | formula:1 | little:1 | tedious:1 | industrious:1 | student:1,don negatives:1 | negatives experience:1 | experience rounded:1 | rounded educational:1 | complaint work:1 | work becomes:1 | becomes similar:1 | similar completed:1 | completed several:1 | several visits:1 | visits visits:1 | visits tends:1 | tends follow:1 | follow formula:1 | formula little:1,3.67,4.17,4.5,4.17,4.0,4.0,4.5,4.33,3.67,4.17,4.5,4.33,4.67,4.33,0.446,0.4357,0.6612,87.27,92.7,89.93,90.67,86.94,88.99,92.26,91.18,87.98
"emily wish, llc","Emily Wish, Llc",4,sufficient,4.4,4.2,stable,25.5,1.0,0.3764,87.62,0,no flag,no flag,0.5659,-0.0796,50.0,0.0,25.0,0.0,0.0,0.0,0.0,50.0,25.0,0.0,25.0,0.0,work:4 | able:2 | social:2 | gave:2 | systems:2 | helped:2 | bound:1 | ideas:1 | off:1 | workers:1 | counselors:1 | advice:1 | direction:1 | strong:1 | support:1 | useful:1 | feedback:1 | explained:1 | why:1 | behind:1,able bound:1 | bound ideas:1 | ideas off:1 | off social:1 | social workers:1 | workers counselors:1 | counselors advice:1 | advice direction:1 | strong support:1 | support gave:1 | gave useful:1 | useful feedback:1 | feedback explained:1 | explained why:1 | why behind:1,lack:1 | direction:1 | charting:1 | intakes:1 | first:1 | weeks:1 | unstructured:1 | committee:1 | work:1 | abstract:1 | early:1 | times:1 | student:1 | role:1 | fully:1 | defined:1 | expectations:1 | inconsistent:1,lack direction:1 | direction charting:1 | charting intakes:1 | first weeks:1 | weeks unstructured:1 | committee work:1 | work abstract:1 | abstract early:1 | times student:1 | student role:1 | role fully:1 | fully defined:1 | defined expectations:1 | expectations inconsistent:1,5.0,4.25,4.75,4.0,5.0,5.0,4.75,4.0,4.5,3.75,4.75,4.25,4.75,4.5,0.0919,0.4804,0.8236,87.31,89.7,83.55,88.1,85.52,85.47,89.61,87.73,91.65
first step resource center,First Step Resource Center,14,sufficient,4.4,4.65,stable,24.0,0.86,0.3602,87.86,0,no flag,no flag,0.5532,0.109,57.1,7.1,35.7,7.1,0.0,7.1,7.1,21.4,57.1,7.1,28.6,14.3,supervision:6 | practice:5 | helped:4 | support:4 | learn:3 | staff:3 | planning:3 | exposure:3 | work:3 | connected:3 | learning:3 | agency:2 | working:2 | help:2 | community:2 | debrief:2 | navigation:2 | systems:2 | advocacy:2 | ask:2,safety planning:2 | dan cravy:1 | cravy agency:1 | agency field:1 | field instructor:1 | instructor outstanding:1 | outstanding supervisor:1 | supervisor say:1 | say enough:1 | enough good:1 | good leadership:1 | leadership style:1 | style embodies:1 | embodies humility:1 | humility listening:1,work:4 | social:3 | church:3 | needed:3 | first:3 | support:3 | weeks:3 | doing:2 | practicum:2 | setting:2 | extra:2 | resource:2 | scarcity:2 | waitlists:2 | hard:2 | navigate:2 | strong:2 | advocacy:2 | sarc:2 | supervision:2,social work:3 | resource scarcity:2 | scarcity waitlists:2 | waitlists hard:2 | hard navigate:2 | navigate strong:2 | strong advocacy:2 | first weeks:2 | weeks unstructured:2 | challenges doing:1 | doing social:1 | work practicum:1 | practicum church:1 | church church:1 | church traditional:1,4.5,4.5,4.36,4.21,4.29,4.21,4.64,3.86,4.64,4.23,4.57,4.21,4.36,4.64,0.2661,0.405,0.4676,87.14,88.23,86.87,88.39,84.7,86.95,91.01,87.22,90.21
recovery center of montana,Recovery Center Of Montana,2,limited,4.4,,stable,23.0,1.0,0.475,,0,no flag,no flag,0.8328,-0.4406,,,,,,,,,,,,,,,,,5.0,5.0,4.5,4.5,5.0,5.0,4.5,4.5,4.5,3.5,4.5,4.5,5.0,4.5,0.6114,,0.8962,,,,,,,,,
sound behavioral health,Sound Behavioral Health,3,sufficient,4.4,4.3,stable,19.3,1.0,0.4185,91.61,0,no flag,no flag,0.4509,-0.1084,0.0,0.0,66.7,0.0,0.0,33.3,0.0,33.3,33.3,0.0,33.3,0.0,work:2 | practice:2 | planning:2 | found:1 | group:1 | combined:1 | direct:1 | observation:1 | hands:1 | experience:1 | throwing:1 | new:1 | tasks:1 | skills:1 | able:1 | ask:1 | help:1 | support:1 | community:1 | policy:1,found group:1 | group work:1 | work combined:1 | combined direct:1 | direct practice:1 | practice planning:1 | planning observation:1 | hands experience:1 | experience throwing:1 | throwing new:1 | new tasks:1 | tasks skills:1 | skills able:1 | able ask:1 | ask help:1,spent:2 | inconsistent:1 | scheduling:1 | meetings:1 | school:1 | events:1 | paperwork:1 | takes:1 | away:1 | client:1 | activities:1 | hardest:1 | wanted:1 | little:1 | independent:1 | practice:1,inconsistent scheduling:1 | scheduling meetings:1 | meetings school:1 | school events:1 | spent paperwork:1 | paperwork takes:1 | takes away:1 | away spent:1 | spent client:1 | client activities:1 | hardest wanted:1 | wanted little:1 | little independent:1 | independent practice:1,4.67,5.0,5.0,4.67,4.33,4.67,4.67,5.0,4.67,3.67,4.67,4.67,4.67,4.33,0.7551,0.2108,0.7841,92.98,94.7,90.84,88.92,91.4,95.56,93.65,88.56,87.95
trillium family services,Trillium Family Services,4,sufficient,4.4,4.2,stable,22.2,1.0,0.3186,89.66,0,no flag,no flag,0.4501,-0.1958,50.0,0.0,25.0,25.0,0.0,0.0,0.0,50.0,25.0,0.0,50.0,0.0,like:2 | community:2 | helped:2 | meetings:2 | strong:1 | support:1 | staff:1 | welcoming:1 | treated:1 | team:1 | appreciated:1 | exposure:1 | policy:1 | discussions:1 | partnerships:1 | based:1 | research:1 | think:1 | collaboration:1 | stakeholder:1,strong support:1 | support staff:1 | staff welcoming:1 | welcoming treated:1 | treated like:1 | like team:1 | team appreciated:1 | appreciated exposure:1 | exposure policy:1 | policy discussions:1 | discussions community:1 | community partnerships:1 | community based:1 | based research:1 | research helped:1,slow:1 | periods:1 | fewer:1 | tasks:1 | limited:1 | client:1 | interaction:1 | funding:1 | challenges:1 | changed:1 | program:1 | structure:1 | scheduling:1 | difficult:1 | times:1,slow periods:1 | periods fewer:1 | fewer tasks:1 | limited client:1 | client interaction:1 | funding challenges:1 | challenges changed:1 | changed program:1 | program structure:1 | scheduling difficult:1 | difficult times:1,4.0,4.75,4.25,4.0,4.25,4.25,4.5,4.5,4.75,4.0,4.5,3.75,5.0,4.75,0.1378,0.5106,0.6905,91.08,93.4,88.19,89.37,87.33,89.68,91.63,87.48,88.84
cheyenne regional behavioral health,Cheyenne Regional Behavioral Health,6,sufficient,4.47,4.9,improving,21.7,1.0,0.3868,88.6,0,no flag,no flag,0.415,-0.0057,33.3,0.0,16.7,20.0,16.7,20.0,16.7,40.0,83.3,0.0,16.7,0.0,work:3 | learning:3 | practice:2 | feedback:2 | support:2 | learned:1 | direct:1 | gave:1 | useful:1 | explained:1 | why:1 | behind:1 | group:1 | outreach:1 | community:1 | collaboration:1 | placement:1 | provide:1 | enough:1 | structure:1,learned direct:1 | direct practice:1 | practice feedback:1 | feedback gave:1 | gave useful:1 | useful feedback:1 | feedback explained:1 | explained why:1 | why behind:1 | behind work:1 | work group:1 | group work:1 | work outreach:1 | outreach community:1 | community collaboration:1,scheduling:1 | difficult:1 | times:1 | admin:1 | work:1 | enough:1 | client:1 | contact:1 | unclear:1 | expectations:1 | start:1 | onboarding:1 | process:1 | clearer:1 | workflow:1 | changed:1 | quickly:1 | planning:1 | harder:1 | weeks:1,scheduling difficult:1 | difficult times:1 | admin work:1 | enough client:1 | client contact:1 | contact unclear:1 | unclear expectations:1 | expectations start:1 | start onboarding:1 | onboarding process:1 | process clearer:1 | workflow changed:1 | changed quickly:1 | quickly planning:1 | planning harder:1,4.17,4.33,5.0,4.17,3.83,4.0,4.17,3.83,4.17,5.0,4.33,4.17,4.5,4.33,0.3879,0.5038,0.6328,85.82,86.62,90.04,89.73,87.04,86.19,92.59,90.46,88.93
